Point	X	Y	Z
369	2928.887 m	100.377 m	-12539.093 m
370	2934.199 m	100.552 m	-12527.812 m
371	2939.51 m	100.727 m	-12516.507 m
372	2944.82 m	100.903 m	-12505.179 m
373	2950.128 m	101.08 m	-12493.829 m
374	2955.434 m	101.257 m	-12482.457 m
375	2960.739 m	101.435 m	-12471.062 m
376	2966.042 m	101.614 m	-12459.646 m
377	2971.343 m	101.793 m	-12448.207 m
378	2976.642 m	101.973 m	-12436.748 m
379	2981.938 m	102.153 m	-12425.266 m
380	2987.232 m	102.334 m	-12413.764 m
381	2992.523 m	102.515 m	-12402.241 m
382	2997.811 m	102.698 m	-12390.697 m
383	3003.096 m	102.88 m	-12379.132 m
384	3008.333 m	103.062 m	-12367.644 m
385	3013.404 m	103.238 m	-12356.495 m
386	3018.472 m	103.415 m	-12345.327 m
387	3023.536 m	103.592 m	-12334.142 m
388	3028.596 m	103.77 m	-12322.938 m
389	3033.653 m	103.948 m	-12311.716 m
390	3038.706 m	104.127 m	-12300.477 m
391	3043.754 m	104.306 m	-12289.219 m
392	3048.799 m	104.485 m	-12277.945 m
393	3053.838 m	104.665 m	-12266.653 m
394	3058.874 m	104.845 m	-12255.344 m
395	3063.904 m	105.026 m	-12244.018 m
396	3068.93 m	105.206 m	-12232.676 m
397	3073.951 m	105.388 m	-12221.317 m
398	3078.966 m	105.569 m	-12209.941 m
399	3083.976 m	105.751 m	-12198.549 m
400	3088.981 m	105.933 m	-12187.142 m
401	3093.98 m	106.115 m	-12175.718 m
402	3098.973 m	106.298 m	-12164.279 m
403	3103.961 m	106.481 m	-12152.824 m
404	3108.942 m	106.664 m	-12141.354 m
405	3113.917 m	106.847 m	-12129.868 m
406	3118.885 m	107.031 m	-12118.368 m
407	3123.847 m	107.214 m	-12106.853 m
408	3128.803 m	107.398 m	-12095.323 m
409	3133.751 m	107.583 m	-12083.779 m
410	3138.692 m	107.767 m	-12072.22 m
411	3143.626 m	107.951 m	-12060.647 m
412	3148.553 m	108.136 m	-12049.06 m
413	3153.473 m	108.321 m	-12037.46 m
414	3158.384 m	108.506 m	-12025.846 m
415	3163.28 m	108.691 m	-12014.237 m
416	3168.067 m	108.872 m	-12002.857 m
417	3172.845 m	109.053 m	-11991.465 m
418	3177.616 m	109.234 m	-11980.061 m
419	3182.378 m	109.415 m	-11968.644 m
420	3187.133 m	109.596 m	-11957.216 m
421	3191.879 m	109.778 m	-11945.775 m
422	3196.617 m	109.959 m	-11934.323 m
423	3201.346 m	110.14 m	-11922.859 m
424	3206.066 m	110.322 m	-11911.384 m
425	3210.778 m	110.503 m	-11899.898 m
426	3215.48 m	110.685 m	-11888.4 m
427	3220.174 m	110.866 m	-11876.892 m
428	3224.858 m	111.047 m	-11865.373 m
429	3229.532 m	111.229 m	-11853.843 m
430	3234.197 m	111.41 m	-11842.303 m
431	3238.853 m	111.591 m	-11830.753 m
432	3243.498 m	111.772 m	-11819.192 m
433	3248.133 m	111.953 m	-11807.622 m
434	3252.758 m	112.134 m	-11796.042 m
435	3257.373 m	112.315 m	-11784.452 m
436	3261.978 m	112.496 m	-11772.853 m
437	3266.572 m	112.676 m	-11761.244 m
438	3271.155 m	112.857 m	-11749.627 m
439	3275.727 m	113.037 m	-11738 m
440	3280.288 m	113.217 m	-11726.365 m
441	3284.838 m	113.397 m	-11714.721 m
442	3289.377 m	113.577 m	-11703.068 m
443	3293.904 m	113.756 m	-11691.407 m
444	3298.42 m	113.936 m	-11679.738 m
445	3302.924 m	114.115 m	-11668.061 m
446	3307.416 m	114.294 m	-11656.377 m
447	3311.889 m	114.472 m	-11644.702 m
448	3316.326 m	114.649 m	-11633.082 m
449	3320.751 m	114.826 m	-11621.456 m
450	3325.164 m	115.003 m	-11609.822 m
451	3329.564 m	115.179 m	-11598.182 m
452	3333.951 m	115.356 m	-11586.535 m
453	3338.326 m	115.531 m	-11574.881 m
454	3342.688 m	115.707 m	-11563.221 m
455	3347.038 m	115.882 m	-11551.554 m
456	3351.374 m	116.057 m	-11539.881 m
457	3355.696 m	116.231 m	-11528.202 m
458	3360.006 m	116.405 m	-11516.518 m
459	3364.301 m	116.579 m	-11504.828 m
460	3368.584 m	116.753 m	-11493.132 m
461	3372.852 m	116.926 m	-11481.431 m
462	3377.106 m	117.098 m	-11469.725 m
463	3381.346 m	117.27 m	-11458.013 m
464	3385.572 m	117.442 m	-11446.297 m
465	3389.784 m	117.614 m	-11434.576 m
466	3393.981 m	117.785 m	-11422.851 m
467	3398.163 m	117.955 m	-11411.121 m
468	3402.331 m	118.125 m	-11399.387 m
469	3406.483 m	118.295 m	-11387.649 m
470	3410.621 m	118.464 m	-11375.907 m
471	3414.743 m	118.632 m	-11364.161 m
472	3418.85 m	118.8 m	-11352.412 m
473	3422.942 m	118.968 m	-11340.659 m
474	3427.017 m	119.135 m	-11328.903 m
475	3431.077 m	119.301 m	-11317.144 m
476	3435.122 m	119.467 m	-11305.381 m
477	3439.15 m	119.633 m	-11293.616 m
478	3443.161 m	119.797 m	-11281.849 m
479	3447.161 m	119.962 m	-11270.065 m
480	3451.172 m	120.127 m	-11258.2 m
481	3455.165 m	120.291 m	-11246.332 m
482	3459.141 m	120.455 m	-11234.462 m
483	3463.101 m	120.618 m	-11222.591 m
484	3467.042 m	120.78 m	-11210.717 m
485	3470.967 m	120.942 m	-11198.842 m
486	3474.874 m	121.103 m	-11186.966 m
487	3478.763 m	121.263 m	-11175.088 m
488	3482.634 m	121.423 m	-11163.21 m
489	3486.487 m	121.582 m	-11151.33 m
490	3490.322 m	121.74 m	-11139.45 m
491	3494.138 m	121.898 m	-11127.569 m
492	3497.936 m	122.055 m	-11115.687 m
493	3501.716 m	122.211 m	-11103.806 m
494	3505.477 m	122.366 m	-11091.924 m
495	3509.218 m	122.521 m	-11080.042 m
496	3512.941 m	122.675 m	-11068.161 m
497	3516.645 m	122.828 m	-11056.28 m
498	3520.329 m	122.98 m	-11044.399 m
499	3523.994 m	123.131 m	-11032.52 m
500	3527.639 m	123.282 m	-11020.641 m
501	3531.264 m	123.432 m	-11008.763 m
502	3534.87 m	123.581 m	-10996.886 m
503	3538.455 m	123.729 m	-10985.011 m
504	3542.02 m	123.876 m	-10973.137 m
505	3545.565 m	124.022 m	-10961.265 m
506	3549.09 m	124.168 m	-10949.395 m
507	3552.593 m	124.312 m	-10937.526 m
508	3556.076 m	124.456 m	-10925.66 m
509	3559.538 m	124.599 m	-10913.797 m
510	3562.979 m	124.741 m	-10901.935 m
511	3566.423 m	124.882 m	-10889.993 m
512	3569.897 m	125.025 m	-10877.873 m
513	3573.349 m	125.168 m	-10865.755 m
514	3576.778 m	125.308 m	-10853.642 m
515	3580.184 m	125.448 m	-10841.531 m
516	3583.567 m	125.587 m	-10829.424 m
517	3586.927 m	125.725 m	-10817.321 m
518	3590.264 m	125.862 m	-10805.222 m
519	3593.577 m	125.998 m	-10793.128 m
520	3596.867 m	126.132 m	-10781.037 m
521	3600.133 m	126.266 m	-10768.951 m
522	3603.376 m	126.398 m	-10756.87 m
523	3606.594 m	126.53 m	-10744.793 m
524	3609.788 m	126.66 m	-10732.722 m
525	3612.958 m	126.789 m	-10720.656 m
526	3616.103 m	126.917 m	-10708.595 m
527	3619.224 m	127.043 m	-10696.54 m
528	3622.32 m	127.169 m	-10684.49 m
529	3625.392 m	127.293 m	-10672.446 m
530	3628.438 m	127.416 m	-10660.409 m
531	3631.459 m	127.538 m	-10648.377 m
532	3634.454 m	127.659 m	-10636.352 m
533	3637.424 m	127.778 m	-10624.334 m
534	3640.368 m	127.896 m	-10612.322 m
535	3643.287 m	128.013 m	-10600.318 m
536	3646.179 m	128.129 m	-10588.32 m
537	3649.045 m	128.243 m	-10576.33 m
538	3651.885 m	128.356 m	-10564.347 m
539	3654.699 m	128.468 m	-10552.372 m
540	3657.486 m	128.578 m	-10540.405 m
541	3660.246 m	128.687 m	-10528.445 m
542	3662.998 m	128.796 m	-10516.413 m
543	3665.802 m	128.906 m	-10504.035 m
544	3668.577 m	129.015 m	-10491.666 m
545	3671.322 m	129.122 m	-10479.306 m
546	3674.038 m	129.228 m	-10466.956 m
547	3676.724 m	129.332 m	-10454.616 m
548	3679.38 m	129.434 m	-10442.285 m
549	3682.007 m	129.536 m	-10429.965 m
550	3684.602 m	129.635 m	-10417.655 m
551	3687.168 m	129.733 m	-10405.356 m
552	3689.702 m	129.83 m	-10393.067 m
553	3692.206 m	129.925 m	-10380.789 m
554	3694.679 m	130.018 m	-10368.522 m
555	3697.121 m	130.109 m	-10356.266 m
556	3699.532 m	130.199 m	-10344.022 m
557	3701.911 m	130.288 m	-10331.789 m
558	3704.259 m	130.374 m	-10319.569 m
559	3706.574 m	130.46 m	-10307.36 m
560	3708.858 m	130.543 m	-10295.164 m
561	3711.11 m	130.625 m	-10282.979 m
562	3713.329 m	130.704 m	-10270.808 m
563	3715.516 m	130.783 m	-10258.649 m
564	3717.67 m	130.859 m	-10246.504 m
565	3719.791 m	130.934 m	-10234.371 m
566	3721.879 m	131.007 m	-10222.252 m
567	3723.934 m	131.078 m	-10210.146 m
568	3725.956 m	131.148 m	-10198.055 m
569	3727.944 m	131.215 m	-10185.977 m
570	3729.899 m	131.281 m	-10173.913 m
571	3731.819 m	131.345 m	-10161.864 m
572	3733.72 m	131.408 m	-10149.738 m
573	3735.664 m	131.471 m	-10137.118 m
574	3737.57 m	131.532 m	-10124.514 m
575	3739.438 m	131.591 m	-10111.927 m
576	3741.267 m	131.648 m	-10099.357 m
577	3743.058 m	131.703 m	-10086.804 m
578	3744.811 m	131.756 m	-10074.268 m
579	3746.524 m	131.806 m	-10061.75 m
580	3748.198 m	131.855 m	-10049.249 m
581	3749.833 m	131.901 m	-10036.767 m
582	3751.429 m	131.945 m	-10024.303 m
583	3752.985 m	131.987 m	-10011.857 m
584	3754.501 m	132.027 m	-9999.431 m
585	3755.977 m	132.065 m	-9987.023 m
586	3757.413 m	132.1 m	-9974.634 m
587	3758.808 m	132.133 m	-9962.264 m
588	3760.162 m	132.164 m	-9949.914 m
589	3761.476 m	132.192 m	-9937.584 m
590	3762.749 m	132.219 m	-9925.274 m
591	3763.98 m	132.242 m	-9912.985 m
592	3765.17 m	132.264 m	-9900.715 m
593	3766.318 m	132.283 m	-9888.467 m
594	3767.425 m	132.3 m	-9876.239 m
595	3768.489 m	132.314 m	-9864.033 m
596	3769.511 m	132.327 m	-9851.848 m
597	3770.491 m	132.336 m	-9839.684 m
598	3771.428 m	132.343 m	-9827.542 m
599	3772.322 m	132.348 m	-9815.423 m
600	3773.173 m	132.351 m	-9803.325 m
601	3774.005 m	132.35 m	-9790.966 m
602	3774.844 m	132.347 m	-9778.383 m
603	3775.676 m	132.34 m	-9765.813 m
604	3776.503 m	132.33 m	-9753.256 m
605	3777.323 m	132.317 m	-9740.711 m
606	3778.136 m	132.3 m	-9728.178 m
607	3778.943 m	132.28 m	-9715.658 m
608	3779.744 m	132.257 m	-9703.151 m
609	3780.537 m	132.231 m	-9690.656 m
